200, {'net_id': 'net_evo17_crossover81', 'acc1': 77.0260000390625, 'acc5': 93.07200001953125, 'flops': 203.389568, 'resolution': 192, 'width': [16, 16, 24, 32, 64, 112, 192, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 3, 3, 1]}

210, {'net_id': 'net_evo14_crossover52', 'acc1': 77.134, 'acc5': 93.05200002929688, 'flops': 212.651648, 'resolution': 192, 'width': [16, 16, 24, 32, 64, 112, 192, 216, 1792], 'kernel_size': [5, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 6, 4, 6, 6], 'depth': [1, 3, 3, 3, 3, 3, 1]}

220, {'net_id': 'net_evo9_mutate4', 'acc1': 77.16, 'acc5': 93.08400001953125, 'flops': 222.618176, 'resolution': 192, 'width': [16, 16, 24, 32, 72, 120, 192, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [2, 3, 3, 3, 3, 3, 1]}

230, {'net_id': 'net_evo16_crossover89', 'acc1': 77.1940000390625, 'acc5': 93.048, 'flops': 228.991232, 'resolution': 192, 'width': [24, 16, 24, 32, 64, 112, 208, 216, 1984], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 6, 4, 6, 6], 'depth': [1, 3, 3, 3, 3, 3, 1]}

240, {'net_id': 'net_evo16_crossover101', 'acc1': 77.51, 'acc5': 93.38600001953125, 'flops': 241.409664, 'resolution': 192, 'width': [16, 16, 24, 32, 72, 112, 192, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 3, 5, 1]}

250, {'net_id': 'net_evo17_crossover100', 'acc1': 77.544, 'acc5': 93.416, 'flops': 249.681024, 'resolution': 192, 'width': [16, 16, 24, 32, 72, 112, 192, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 6, 4, 6, 6], 'depth': [1, 3, 3, 3, 3, 5, 1]}

260, {'net_id': 'net_evo17_crossover35', 'acc1': 77.75, 'acc5': 93.55, 'flops': 263.706944, 'resolution': 192, 'width': [16, 16, 24, 32, 72, 112, 200, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 4, 5, 1]}

270, {'net_id': 'net_evo12_crossover118', 'acc1': 77.7340000390625, 'acc5': 93.42200002929687, 'flops': 266.973696, 'resolution': 192, 'width': [16, 16, 24, 32, 72, 112, 200, 216, 1792], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 3, 6, 1]}

