,method,overlap_perc,overlap_perc_import,overlap_perc_import_0.1,ratio
0,combine_rank_3,0.133,0.221,0.667,0.03
1,epe_nas,0.573,0.575,1.0,0.578
2,fisher,0.95,0.832,1.0,0.952
3,flops,0.171,0.327,0.667,0.061
4,grad_norm,0.75,0.77,1.0,0.756
5,grasp,0.208,0.31,1.0,0.117
6,jacov,0.885,0.814,1.0,0.878
7,l2_norm,0.116,0.159,0.667,0.022
8,nwot,0.164,0.265,0.667,0.036
9,params,0.145,0.23,0.667,0.033
10,plain,0.941,0.85,1.0,0.943
11,snip,0.783,0.796,1.0,0.789
12,synflow,0.615,0.761,1.0,0.563
13,zen,0.133,0.239,0.667,0.043
14,vote,0.391,0.735,1.0,0.197
15,intersection,0.34,0.673,1.0,0.156
