,method,overlap_perc,overlap_perc_import,overlap_perc_import_0.1,ratio
0,combine_rank_3,0.51,0.606,0.778,0.052
1,epe_nas,0.107,0.136,0.111,0.085
2,fisher,0.336,0.364,0.667,0.017
3,flops,0.433,0.515,0.778,0.019
4,grad_norm,0.471,0.576,0.778,0.05
5,grasp,0.303,0.333,0.333,0.287
6,jacov,0.373,0.485,0.889,0.2
7,l2_norm,0.445,0.606,0.778,0.119
8,nwot,0.531,0.348,0.667,0.005
9,params,0.389,0.561,0.778,0.261
10,plain,0.854,0.879,0.889,0.855
11,snip,0.483,0.545,0.778,0.058
12,synflow,0.403,0.606,0.778,0.091
13,zen,0.41,0.621,0.778,0.119
14,vote,0.56,0.818,0.778,0.191
15,intersection,0.613,0.788,0.778,0.101
